bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B8,0,24,14990.452493208742,0.0,19.42913554,8.833851459,-0.0
B9,0,1,14991.117482875017,0.0,19.23138576,0.0,-0.0
B9,0,2,14991.157910150576,0.0,17.80869599,0.0,-0.0
B9,0,3,14991.185936626542,0.0,17.0973511,0.0,-0.0
B9,0,4,14991.304581812958,0.0,16.74167866,0.0,-0.0
B9,0,5,14991.060183564705,0.0,17.03600888,0.0,-0.0
B9,0,6,14990.300539430202,0.0,19.97826389,0.0,-0.0
B9,0,7,14985.68774018859,0.0,25.59296342,0.0,-0.0
B9,0,8,14984.911278206338,0.0,30.246836819999995,0.0,-0.0
B9,0,9,14981.205055117205,0.0,30.09109648,0.0,-0.0
B9,0,10,14981.284652994738,0.0,29.07874959,0.0,-0.0
B9,0,11,14981.37534606486,0.0,28.16090836,0.0,-0.0
B9,0,12,14980.857582896791,0.0,28.5165808,0.0,-0.0
B9,0,13,14985.523474730246,0.0,28.16090836,0.0,-0.0
B9,0,14,14985.875821057663,0.0,27.093891030000005,0.0,-0.0
B9,0,15,14986.066565923758,0.0,26.738218579999998,0.0,-0.0
B9,0,16,14985.80375696883,0.0,28.02437887,0.0,-0.0
B9,0,17,14984.401579506251,0.0,34.43315041,0.0,-0.0
B9,0,18,14985.416826406194,0.0,43.20693493,0.0,-0.0
B9,0,19,14985.48145622934,0.0,43.71839419999999,0.0,-0.0
B9,0,20,14987.04257601335,0.0,40.77952689,0.0,-0.0
B9,0,21,14987.183427892413,0.0,39.35683712,0.0,-0.0
B9,0,22,14987.52397699929,0.0,36.38879191,0.0,-0.0
B9,0,23,14989.003509007734,0.0,29.86412558,0.0,-0.0
B9,0,24,14990.018593377508,0.0,24.07634121,0.0,-0.0
B11,0,1,14990.860066640298,0.0,28.53221964,17.13912482,-0.0
B11,0,2,14990.890716397467,0.0,28.53221964,19.985093639999995,-0.0
B11,0,3,14990.918564040847,0.0,28.53221964,20.03728673000001,-0.0
B11,0,4,14991.037780647786,0.0,28.53221964,19.871594399999996,-0.0
B11,0,5,14990.792301720947,0.0,28.53221964,20.184847050000002,-0.0
B11,0,6,14990.034131937584,0.0,28.53221964,19.75182274,-0.0
B11,0,7,14985.260429070679,0.0,46.31714785,30.50828115,-0.0
B11,0,8,14984.486514198621,0.0,46.62244602,29.142628200000004,-0.0
B11,0,9,14980.643418596123,0.0,63.37843742,34.964738270000005,-0.0
B11,0,10,14980.728287423157,0.0,64.80830651,30.53632744,-0.0
B11,0,11,14980.831733777875,0.0,64.10409895,28.2558237,-0.0
B11,0,12,14980.306370128192,0.0,65.6307149,27.367136299999995,-0.0
B11,0,13,14985.149677254974,0.0,44.36032037999999,18.9044909,-0.0
B11,0,14,14985.514981816867,0.0,42.61872132,18.66559928,-0.0
B11,0,15,14985.707421841544,0.0,42.44047883,18.53486659,-0.0
B11,0,16,14985.441650127734,0.0,42.68277917,18.9041077,-0.0
B11,0,17,14984.023355320862,0.0,43.71390434,21.493776040000004,-0.0
B11,0,18,14985.118264669793,0.0,34.15444113,17.69199832,-0.0
B11,0,19,14985.175984156587,0.0,34.14226398,19.72753419,-0.0
B11,0,20,14986.782444150394,0.0,28.53221964,17.90894489,-0.0
B11,0,21,14986.916521284405,0.0,28.53221964,19.88091868,-0.0
B11,0,22,14987.250558794065,0.0,28.53221964,21.77732045,-0.0
B11,0,23,14988.731118586833,0.0,28.53221964,21.48610672,-0.0
B11,0,24,14989.745899333706,0.0,28.53221964,21.5798331,-0.0
B12,0,1,14990.692803299966,0.0,28.53221964,17.13912482,-0.0
B12,0,2,14990.717101435428,0.0,28.53221964,19.985093639999995,-0.0
B12,0,3,14990.7448329105,0.0,28.53221964,20.03728673000001,-0.0
B12,0,4,14990.864420708751,0.0,28.53221964,19.871594399999996,-0.0
B12,0,5,14990.618239780946,0.0,28.53221964,20.184847050000002,-0.0
B12,0,6,14989.86102772721,0.0,28.53221964,19.75182274,-0.0
B12,0,7,14984.982802103501,0.0,46.31714785,30.50828115,-0.0
B12,0,8,14984.210541234792,0.0,46.62244602,29.142628200000004,-0.0
B12,0,9,14980.278548670069,0.0,63.37843742,34.964738270000005,-0.0
B12,0,10,14980.366840367466,0.0,64.80830651,30.53632744,-0.0
B12,0,11,14980.478569386642,0.0,64.10409895,28.2558237,-0.0
B12,0,12,14979.948269979803,0.0,65.6307149,27.367136299999995,-0.0
B12,0,13,14984.906809482909,0.0,44.36032037999999,18.9044909,-0.0
B12,0,14,14985.280531453856,0.0,42.61872132,18.66559928,-0.0
B12,0,15,14985.474072643117,0.0,42.44047883,18.53486659,-0.0
B12,0,16,14985.206376324513,0.0,42.68277917,18.9041077,-0.0
B12,0,17,14983.77761186683,0.0,43.71390434,21.493776040000004,-0.0
B12,0,18,14984.924270662503,0.0,34.15444113,17.69199832,-0.0
B12,0,19,14984.977501091664,0.0,34.14226398,19.72753419,-0.0
B12,0,20,14986.613416659424,0.0,28.53221964,17.90894489,-0.0
B12,0,21,14986.74309285324,0.0,28.53221964,19.88091868,-0.0
B12,0,22,14987.072900557196,0.0,28.53221964,21.77732045,-0.0
B12,0,23,14988.554127965443,0.0,28.53221964,21.48610672,-0.0
B12,0,24,14989.56871148734,0.0,28.53221964,21.5798331,-0.0
B16,0,1,14990.762518066813,0.0,16.30412551,9.793785611,-0.0
B16,0,2,14990.789463253985,0.0,16.30412551,11.42005351,-0.0
B16,0,3,14990.817243141888,0.0,16.30412551,11.44987813,-0.0
B16,0,4,14990.936676247182,0.0,16.30412551,11.355196799999998,-0.0
B16,0,5,14990.690787875717,0.0,16.30412551,11.53419831,-0.0
B16,0,6,14989.933176691491,0.0,16.30412551,11.286755849999999,-0.0
B16,0,7,14985.098510611533,0.0,26.46694163,17.43330352,-0.0
B16,0,8,14984.325560545909,0.0,26.64139773,16.6529304,-0.0
B16,0,9,14980.430612782944,0.0,36.21624995,19.97985044,-0.0
B16,0,10,14980.517478210655,0.0,37.03331801,17.44932996,-0.0
B16,0,11,14980.625755788227,0.0,36.63091369,16.14618497,-0.0
B16,0,12,14980.09751307491,0.0,37.50326566,15.638363599999998,-0.0
B16,0,13,14985.008032767657,0.0,25.3487545,10.80256623,-0.0
B16,0,14,14985.378246851542,0.0,24.35355504,10.666056729999998,-0.0
B16,0,15,14985.571329135482,0.0,24.25170219,10.591352340000002,-0.0
B16,0,16,14985.304434890126,0.0,24.39015953,10.80234726,-0.0
B16,0,17,14983.880033599573,0.0,24.97937391,12.28215774,-0.0
B16,0,18,14985.00512582071,0.0,19.5168235,10.10971332,-0.0
B16,0,19,14985.060227072527,0.0,19.50986513,11.27287668,-0.0
B16,0,20,14986.683866646485,0.0,16.30412551,10.233682799999999,-0.0
B16,0,21,14986.815376935148,0.0,16.30412551,11.360524959999998,-0.0
B16,0,22,14987.14694738048,0.0,16.30412551,12.44418311,-0.0
B16,0,23,14988.627896566908,0.0,16.30412551,12.27777527,-0.0
B16,0,24,14989.642562280616,0.0,16.30412551,12.3313332,-0.0
B20,0,1,14995.812762674439,0.0,6.114047065,3.672669604,-0.0
B20,0,2,14995.87562393675,0.0,6.114047065,4.282520066,-0.0
B20,0,3,14995.854919814457,0.0,6.114047065,4.293704299,-0.0
B20,0,4,14995.940780039115,0.0,6.114047065,4.258198799,-0.0
B20,0,5,14995.731261360585,0.0,6.114047065,4.325324367,-0.0
B20,0,6,14995.163901056823,0.0,6.114047065,4.232533445,-0.0
B20,0,7,14993.007353642235,0.0,9.925103111,6.537488818,-0.0
B20,0,8,14992.584359101033,0.0,9.990524148,6.244848900000001,-0.0
B20,0,9,14990.713668191098,0.0,13.58109373,7.492443914,-0.0
